video_path,video_url,keys
/home/intern/interndata/vipul/BMT/submodules/video_features/kinetics/0.mp4,https://www.youtube.com/watch?v=QvHSC4znSqs,1 Tos Cresant Kick 2 Side Kick
/home/intern/interndata/vipul/BMT/submodules/video_features/kinetics/1.mp4,https://www.youtube.com/watch?v=Q9xstil__Y4,2012 Bow Tie Day
/home/intern/interndata/vipul/BMT/submodules/video_features/kinetics/2.mp4,https://www.youtube.com/watch?v=3oB-Y0fA-vg,APG - Tying a Simple Knot or Bow
/home/intern/interndata/vipul/BMT/submodules/video_features/kinetics/3.mp4,https://www.youtube.com/watch?v=8sKg28EBXy4,ATC bandages část 2
/home/intern/interndata/vipul/BMT/submodules/video_features/kinetics/4.mp4,https://www.youtube.com/watch?v=Uwe8lLp0gLw,3  Upper Extremities Bandaging Part1)
/home/intern/interndata/vipul/BMT/submodules/video_features/kinetics/5.mp4,https://www.youtube.com/watch?v=HjZw74WlRxs,5  Kirsten Wilson on Bandaging in Basic Pet First Aid class in Vancouver
/home/intern/interndata/vipul/BMT/submodules/video_features/kinetics/6.mp4,https://www.youtube.com/watch?v=Bgue2jlu4g0,Ankle compression bandage
/home/intern/interndata/vipul/BMT/submodules/video_features/kinetics/7.mp4,https://www.youtube.com/watch?v=RLCCziKiGk0,2016 05 13 Alex Grad 04 Applauding Parents
/home/intern/interndata/vipul/BMT/submodules/video_features/kinetics/8.mp4,https://www.youtube.com/watch?v=7d7OXCQbCWo,Applaud the Lord of the Worlds Standing
/home/intern/interndata/vipul/BMT/submodules/video_features/kinetics/9.mp4,https://www.youtube.com/watch?v=QCgM4n6If80,Applauding in the auditorium
/home/intern/interndata/vipul/BMT/submodules/video_features/kinetics/10.mp4,https://www.youtube.com/watch?v=JECLswekC80,ARSENAL fans applauded Vermaelen during is substitution at Anfield
/home/intern/interndata/vipul/BMT/submodules/video_features/kinetics/11.mp4,https://www.youtube.com/watch?v=We-fNQbB4uQ,(Drummersnl) Amedia cymbals
/home/intern/interndata/vipul/BMT/submodules/video_features/kinetics/12.mp4,https://www.youtube.com/watch?v=IkZFVNekG-E,Amedia Cymbals Meu Set-Up 2011 - SoundCheck + Grooves ordinários na batera
/home/intern/interndata/vipul/BMT/submodules/video_features/kinetics/13.mp4,https://www.youtube.com/watch?v=8IDLWeK8OQw,Amedia Cymbals - Ahmet Legend 22
/home/intern/interndata/vipul/BMT/submodules/video_features/kinetics/14.mp4,https://www.youtube.com/watch?v=1gVbdogJ6FA,Amedia Cymbals Classic
